id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
material,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper
number_of_wire,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five
gasket_type,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,ground,ground,ground,ground,ground,ground,ground
cross_section,1.5,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,500,630,800,1000,1.5,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,500,630,800,1000,1.5,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,1.5,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,1.5,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,1.5,2.5,4,6,10,16,25
current_strength,22,30,39,50,68,89,121,147,179,226,280,326,373,431,512,591,685,792,910,1030,1143,30,39,50,62,83,107,137,163,194,237,285,324,364,412,477,539,612,690,774,856,993,21,27,36,46,63,84,112,137,167,211,261,302,346,397,472,542,633,27,36,47,59,79,102,133,158,187,231,279,317,358,405,471,533,611,20,25,33,43,59,78,104,127,155,196,243,281,322,369,439,504,589,25,33,44,55,73,95,124
id,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
material,copper,copper,copper,copper,copper,copper,copper,copper,copper,copper,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum
number_of_wire,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,two or three,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five,four or five
gasket_type,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,air,ground,ground
cross_section,35,50,70,95,120,150,185,240,300,400,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,500,630,800,1000,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,500,630,800,1000,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,2.5,4
