AmbientTemp,NormalTempWire,-5,0,5,10,15,20,25,30,35,40,45,50
15,80,1.14,1.11,1.08,1.04,1.0,0.96,0.92,0.88,0.83,0.78,0.73,0.68
25,80,1.24,1.2,1.17,1.13,1.09,1.04,1.0,0.95,0.9,0.85,0.8,0.74
25,70,1.29,1.24,1.2,1.15,1.11,1.05,1.0,0.94,0.88,0.81,0.74,0.67
15,65,1.18,1.14,1.1,1.05,1.0,0.95,0.89,0.84,0.77,0.71,0.63,0.55
25,65,1.32,1.27,1.22,1.17,1.12,1.06,1.0,0.94,0.87,0.79,0.71,0.61
15,60,1.2,1.15,1.12,1.06,1.0,0.94,0.88,0.82,0.75,0.67,0.57,0.47
25,60,1.36,1.31,1.25,1.2,1.13,1.07,1.0,0.93,0.85,0.76,0.66,0.54
15,55,1.22,1.17,1.12,1.07,1.0,0.93,0.86,0.79,0.71,0.61,0.5,0.36
25,55,1.41,1.35,1.29,1.23,1.15,1.08,1.0,0.91,0.82,0.71,0.58,0.41
15,50,1.25,1.2,1.14,1.07,1.0,0.93,0.84,0.76,0.66,0.54,0.37,""
25,50,1.48,1.41,1.34,1.26,1.18,1.09,1.0,0.89,0.78,0.63,0.45,""
